Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,South Africa,1,2024,541.3449158264153,5353.617707489989,5894.9626233164045,4.621171980851182,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Taiwan,1,2024,376.0080449828796,5361.594441545381,5737.602486528261,4.179572293481609,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Switzerland,1,2024,491.12161903792196,5426.900025938005,5918.021644975926,4.179572293481609,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Singapore,1,2024,367.5634198591506,5213.900359148796,5581.463779007947,4.465660649637826,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Hungary,1,2024,410.67545338555647,4338.158113266794,4748.833566652351,4.290464339789867,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Philippines,1,2024,308.8954979469283,4219.542592619528,4528.438090566456,4.557523883265969,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Netherlands,1,2024,501.3440599771728,4387.882345315565,4889.226405292738,4.332458960877018,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Norway,1,2024,588.9014888916258,4353.7221058083605,4942.623594699986,4.176291463709175,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Oman,1,2024,424.4535259558511,4321.1940491956,4745.647575151452,4.527340249359579,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Italy,1,2024,413.3421771088393,4372.016107078329,4785.3582841871685,4.373797416009683,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Austria,1,2024,462.2321120356913,4118.184894127979,4580.41700616367,4.229440906022601,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Finland,1,2024,512.0109548703041,3776.102315334899,4288.113270205203,4.208443595479027,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Portugal,1,2024,404.45309803122984,3621.540801114758,4025.9938991459876,4.265530033519372,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Germany,1,2024,463.1210199434522,3418.667424916373,3881.788444859825,4.406605713734018,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Greece,1,2024,408.89763757003453,3302.4226840272777,3711.320321597312,4.377734411736604,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,France,1,2024,456.8986645891256,3312.0292153017244,3768.92787989085,4.19335177852583,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Brazil,1,2024,453.34303295808184,3003.1363209675233,3456.479353925605,4.220910748614273,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,United Kingdom,1,2024,451.5652171425599,2771.0342819724906,3222.5994991150505,4.312773982242417,liquid Fischer--Tropsch diesel fuel at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Spain,1,2024,388.8972096454133,2634.5533818733593,3023.4505915187724,4.270779361155267,liquid Fischer--Tropsch diesel fuel at STP
